CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
106,Male,44,132,28
107,Female,50,125,26
108,Female,48,137,27
109,Female,46,134,24
110,Female,44,106,17
111,Male,41,110,13
112,Male,41,103,33
113,Female,43,136,28
114,Female,38,102,19
115,Male,46,101,19
116,Male,52,98,18
117,Male,36,125,19
118,Male,55,138,25
119,Male,35,126,19
120,Female,50,118,20
121,Male,36,106,25
122,Male,37,115,25
123,Male,53,130,31
124,Male,39,99,35
125,Female,37,105,13
126,Female,54,128,35
127,Male,51,114,24
128,Female,44,127,23
129,Female,53,129,11
130,Male,41,130,16
131,Female,37,100,17
132,Male,52,94,15
133,Male,48,118,32
134,Female,44,92,17
135,Female,44,134,24
136,Male,42,106,35
137,Male,48,97,27
138,Male,55,99,18
139,Male,37,93,15
140,Female,54,137,28
141,Female,49,97,24
142,Female,47,107,26
143,Female,49,95,29
144,Male,48,137,20
145,Female,35,95,17
146,Male,43,126,11
147,Male,50,123,30
148,Female,43,101,28
149,Female,55,121,12
150,Female,46,116,20
151,Female,23,25,81
152,Female,35,29,85
153,Male,34,22,80
154,Female,30,23,85
155,Male,34,33,63
156,Male,31,39,91
157,Female,21,26,77
158,Male,29,34,91
159,Male,20,40,98
160,Male,25,29,95
161,Male,33,22,74
162,Male,34,23,69
163,Female,29,36,77
164,Female,35,35,75
165,Female,24,32,72
166,Male,22,28,86
167,Female,28,20,78
168,Female,35,24,88
169,Female,31,30,95
170,Female,34,30,72
171,Male,32,27,86
172,Male,30,43,90
173,Female,32,41,69
174,Female,21,24,92
175,Female,23,34,66
176,Female,20,43,69
177,Female,24,22,90
178,Female,30,39,85
179,Male,30,41,94
180,Female,30,40,91
181,Male,22,27,100
182,Female,27,43,65
183,Female,23,44,100
184,Male,34,25,79
185,Male,21,30,63
186,Female,31,31,87
187,Male,27,36,86
188,Male,25,25,65
189,Female,27,35,97
190,Male,27,34,100
191,Female,34,28,60
192,Female,29,41,94
193,Male,22,34,82
194,Female,33,42,76
195,Female,29,26,84
196,Female,23,27,84
197,Female,29,42,78
198,Male,32,28,60
199,Male,35,29,74
200,Female,27,40,72
201,Female,24,40,66
202,Male,29,45,88
203,Male,31,43,68
204,Male,29,30,86
205,Male,26,24,94
206,Female,28,25,76
207,Female,29,43,81
208,Male,34,22,69
209,Male,32,45,95
210,Female,22,45,85
211,Male,28,37,67
212,Female,31,41,76
213,Female,31,23,74
214,Female,20,39,95
215,Female,27,40,64
216,Female,29,40,86
217,Male,24,21,62
218,Female,35,23,66
219,Male,24,32,89
220,Female,33,38,69
221,Female,23,35,99
222,Female,28,21,83
223,Male,34,34,75
224,Female,23,41,83
225,Female,21,32,77
226,Male,32,70,57
227,Female,30,61,36
228,Male,28,65,40
229,Male,33,65,48
230,Male,29,66,54
231,Male,38,66,57
232,Male,46,64,34
233,Male,42,67,34
234,Male,59,48,55
235,Male,32,61,57
236,Male,33,40,41
237,Male,45,40,35
238,Female,28,44,53
239,Female,58,43,53
240,Male,55,54,54
241,Female,57,58,33
242,Female,57,47,60
243,Male,58,49,44
244,Male,28,55,57
245,Female,52,61,33
246,Female,53,42,58
247,Male,45,59,34
248,Male,33,48,49
249,Female,49,59,46
250,Female,54,56,49
251,Female,31,65,52
252,Male,60,63,57
253,Male,52,54,58
254,Male,51,50,56
255,Female,50,53,53
256,Male,45,53,40
257,Female,48,70,34
258,Female,29,42,56
259,Male,30,53,33
260,Female,33,57,31
261,Female,32,53,41
262,Female,28,70,39
263,Female,47,43,48
264,Male,34,61,45
265,Male,31,51,57
266,Female,32,64,38
267,Male,52,67,47
268,Male,42,40,35
269,Female,44,69,40
270,Female,25,45,57
271,Male,50,42,34
272,Male,30,63,46
273,Male,49,53,44
274,Female,35,51,39
275,Female,30,68,31
276,Male,35,64,49
277,Male,30,48,44
278,Female,56,59,44
279,Female,42,46,54
280,Male,47,53,33
281,Female,56,56,51
282,Female,27,47,42
283,Male,25,46,39
284,Male,33,64,38
285,Female,45,43,30
286,Female,52,45,34
287,Female,59,62,37
288,Female,29,52,57
289,Male,52,40,44
290,Male,45,58,43
291,Female,51,49,33
292,Female,26,70,40
293,Male,54,66,52
294,Female,30,53,57
295,Male,40,53,48
296,Female,58,42,42
297,Female,46,47,40
298,Male,29,56,50
299,Male,58,56,36
300,Female,47,63,60
